Year,Hist CO2 (W/m²),CO2 (ppm),Earth CO2 (tot) (Gg/yr),Earth CO2 (fuel) (Gg/yr)
1990,1.330290767281535,354.0729370117188,24045883.0,20456433.0
1991,1.3509510069366668,355.3529357910156,24634704.0,21015164.0
1992,1.3619604000793712,356.2289428710938,24335105.0,20768137.0
1993,1.3732675558481415,356.9249572753906,24512983.0,20964252.0
1994,1.3967603123132053,358.2539672851562,24597396.0,20993766.0
1995,1.425303274722204,360.2389526367188,25055443.0,21371597.0
1996,1.4526273266086087,362.0049743652344,25523221.0,21973604.0
1997,1.4696391928569712,363.251953125,26387970.0,22053805.0
1998,1.5103006402059431,365.9329528808594,25696605.0,21932284.0
1999,1.5424510765307566,367.844970703125,25949898.0,22260538.0
2000,1.560589117994898,369.1249694824219,26657292.0,22898602.0
2001,1.5846007671233593,370.6730041503906,26501812.0,23044174.0
2002,1.6150206063472303,372.8349914550781,27400218.0,23512041.0
2003,1.6534047011435058,375.4109802246094,28477103.0,24704405.0
2004,1.680655402484379,376.9869995117188,30005502.0,25814902.0
2005,1.7109125624288146,378.9070129394531,30710117.0,26623776.0
2006,1.7426512790048856,381.010009765625,31806177.0,27469823.0
2007,1.7681918049565983,382.60302734375,32238895.0,28202983.0
2008,1.7990568951538657,384.739013671875,33011595.0,28955332.0
2009,1.821010435290595,386.280029296875,32906479.0,28561172.0
2010,1.8542387771829048,388.717041015625,34153103.0,29991372.0
2011,1.8815013547752075,390.9440002441406,34232042.0,30978814.0
2012,1.9105245758690848,393.0159912109375,34826686.0,31476576.0
2013,1.9498820904830387,395.7249755859375,34985723.0,31507519.0
2014,1.977306603106163,397.5469665527344,35664264.0,31731480.0
2015,2.0100132948344926,399.4,35634189.0,31724909.0
2016,2.0584930165033906,402.9,36150835.0,31611803.0
2017,2.0886859393619077,405.0,36728879.0,32160319.0
2018,2.1220798898316877,407.4,37751215.0,32899536.0
2019,2.156277925173476,409.9,38006765.0,32850084.0
2020,,,35785280.0,30924396.0
2021,,,37756286.0,32702715.0
